"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Body Item Label","Metric Name","Metric Unit","Metric Value"
"0","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 8, 1)","(18992, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_read.sum","byte","778078976"
"0","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 8, 1)","(18992, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_write.sum","byte","6683648"
"0","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 8, 1)","(18992, 1, 1)","0","8.9","Command line profiler metrics","","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","97.63"
"0","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 8, 1)","(18992, 1, 1)","0","8.9","Command line profiler metrics","","gpu__time_duration.sum","ns","1396800"
"0","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 8, 1)","(18992, 1, 1)","0","8.9","Command line profiler metrics","","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","36.37"
"1","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_read.sum","byte","31482880"
"1","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_write.sum","byte","0"
"1","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","80.62"
"1","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","gpu__time_duration.sum","ns","67936"
"1","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","46.80"
"2","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_read.sum","byte","21000320"
"2","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_write.sum","byte","0"
"2","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","75.22"
"2","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","gpu__time_duration.sum","ns","48576"
"2","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","38.05"
"3","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(4864, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_read.sum","byte","99663616"
"3","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(4864, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_write.sum","byte","2971136"
"3","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(4864, 1, 1)","0","8.9","Command line profiler metrics","","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","94.20"
"3","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(4864, 1, 1)","0","8.9","Command line profiler metrics","","gpu__time_duration.sum","ns","189376"
"3","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(4864, 1, 1)","0","8.9","Command line profiler metrics","","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","32.81"
"4","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(32, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_read.sum","byte","49848064"
"4","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(32, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_write.sum","byte","37632"
"4","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(32, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","92.18"
"4","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(32, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","gpu__time_duration.sum","ns","94048"
"4","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(32, 4, 1)","(640, 1, 1)","0","8.9","Command line profiler metrics","","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","27.32"
"5","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_read.sum","byte","31491328"
"5","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","dram__bytes_write.sum","byte","0"
"5","477","python3.12","127.0.0.1","enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)","1","7","(16, 4, 1)","(1536, 1, 1)","0","8.9","Command line profiler metrics","","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","87.05"
